state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Bihar,araria,6,850,787,39,0.0,0.0,6297.0,6897.0,1676,0.0,13194.0,13194.0,14870.0,1.0,0.0,2596.5,0.4263514619807921,1.5653643668606263,0.40369524435089393,1,0.07194513715710724,0.86891763725075,0.49443567092730595,0.8355597608814918,0.37249055153201494
Bihar,arwal,5,43,156,10,0.0,0.0,1452.0,1735.0,209,0.0,3187.0,3187.0,3396.0,1.0,0.0,644.3333333333334,0.4216719838662016,1.5312085919520189,0.4572041582590483,1,0.08987144617244346,0.8228646966363875,0.6871185576337824,0.8800374667928392,0.37070618596585503
Bihar,aurangabad,9,885,2232,8,1921.0,24321.0,3589.0,4303.0,3125,26242.0,7892.0,34134.0,37259.0,1.0,0.0,2542.5,0.22013642449030546,1.1980096942999767,0.30533208442394055,1,0.08175044010192681,0.919377721995055,0.49976558258895526,0.7537982863867692,0.29385720757532424
Bihar,aurangabad(bh),9,22,17,0,3.0,202.0,7.0,40.0,39,205.0,47.0,252.0,291.0,1.0,0.0,28.25,0.2186700205976229,1.1626564003849855,0.2505399568034557,1,0.10875842155919153,0.8631530547243174,0.7479272565760253,0.7082539469381309,0.29329804252569464
Bihar,banka,6,397,542,36,0.0,0.0,5242.0,4681.0,975,0.0,9923.0,9923.0,10898.0,1.0,0.0,1845.6666666666667,0.42287117335617,1.4699636728787029,0.4156816390858944,1,0.08176555716353111,0.8517983755613538,0.56854447350672,0.8455230978476609,0.3711634575634139
Bihar,begusarai,7,377,372,13,0.0,0.0,7462.0,9584.0,762,0.0,17046.0,17046.0,17808.0,1.0,0.0,2641.8,0.36737606700545206,1.4334560464078536,0.39238638895412203,1,0.07367804551539492,0.8981204323207421,0.489964467255589,0.8261596084994991,0.35000221811796145
Bihar,bhabua,9,4,6,0,0.0,38.0,1.0,9.0,10,38.0,10.0,48.0,58.0,1.0,0.0,7.75,0.22817020178569283,1.183673469387755,0.2,1,0.15816326530612246,0.8535487864877783,0.7499506489660959,0.6662440990213011,0.2969206251661427
Bihar,bhagalpur,3,13,40,18,4949.0,37353.0,13344.0,11954.0,71,42302.0,25298.0,67600.0,67671.0,1.0,0.0,2340.222222222222,0.45543846184679543,1.8774206077644406,0.4889365068899585,1,0.06492561698139962,0.6907216814059474,0.5197308175272939,0.9064140453327166,0.38358192533756086
Bihar,bhojpur,7,184,626,13,0.0,0.0,4937.0,7200.0,823,0.0,12137.0,12137.0,12960.0,1.0,0.0,2671.4,0.4637773812241147,1.7680449613872176,0.2905034759065975,1,0.07910290424977495,0.8757360419721237,0.4870428860484627,0.7414724430732428,0.38676169885749206
Bihar,buxar,9,856,1621,7,1253.0,12554.0,1717.0,2548.0,2484,13807.0,4265.0,18072.0,20556.0,1.0,0.0,1810.0,0.16969056585237657,1.229986917133618,0.2696050527228863,1,0.08935844585421243,0.8999693313175271,0.5720648472585501,0.7241012454075331,0.27462133320971277
Bihar,darbhanga,6,255,183,10,0.0,0.0,9869.0,10551.0,448,0.0,20420.0,20420.0,20868.0,1.0,0.0,3153.0,0.34306346544802835,1.346852339644421,0.43985820492276734,1,0.06841230510195669,0.913410842016518,0.4395079701919755,0.8656191548725614,0.34073140458267276
Bihar,east champaran,4,1528,2371,153,0.0,0.0,18395.0,16092.0,4052,0.0,34487.0,34487.0,38539.0,1.0,0.0,4887.166666666667,0.38707058109253534,1.494271484723959,0.401544612858598,1,0.08186025996069322,0.9098660502709317,0.26834213426771286,0.833772111907674,0.35751207539663327
Bihar,gaya,4,437,1371,54,0.0,0.0,17648.0,14616.0,1862,0.0,32264.0,32264.0,34126.0,1.0,0.0,3425.125,0.4536605248644883,1.7967594537146638,0.5139838322288726,1,0.08718991434062646,0.8816888458365695,0.4126486699896363,0.9272338955020225,0.38290396735755894
Bihar,gopalganj,5,385,495,27,0.0,0.0,6673.0,6360.0,907,0.0,13033.0,13033.0,13940.0,1.0,0.0,2164.0,0.39445768130599806,1.6479570780024764,0.47541142805350184,1,0.0893107717705324,0.8641457599567446,0.5371243152544045,0.8951717226059226,0.36032890388303573
Bihar,jamui,4,1015,647,30,0.0,0.0,7373.0,4803.0,1692,0.0,12176.0,12176.0,13868.0,1.0,0.0,1483.142857142857,0.4209209322609751,1.7230707130618161,0.5474191514277993,1,0.0855245815210228,0.8439856270697902,0.6043263231364697,0.9550260180805985,0.37041979705881073
Bihar,jehanabad,4,78,292,48,0.0,0.0,2739.0,2931.0,418,0.0,5670.0,5670.0,6088.0,1.0,0.0,813.8333333333334,0.4450207456292766,1.675929067077872,0.39174879517067723,1,0.07529683885890516,0.7647686109923716,0.6703885571402721,0.8256296274791474,0.3796094707942634
