state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Chhattisgarh,balod,9,507,25,1,401.0,6337.0,1198.0,5646.0,533,6738.0,6844.0,13582.0,14115.0,1.0,0.0,419.5,0.42819687355239583,1.660031189799101,0.562609841827768,1,0.025655138672293062,0.8282668467430468,0.6337046312563077,0.8542860075295271,0.5191397562155821
Chhattisgarh,baloda bazar,5,492,35,17,195.0,2667.0,3113.0,13104.0,544,2862.0,16217.0,19079.0,19623.0,1.0,0.0,988.8,0.4043480197017533,1.7229912210486584,0.5301810797544362,1,0.03217430350832666,0.8476091867186021,0.47410570777109107,0.8338650056381262,0.4896882720511536
Chhattisgarh,balrampur,7,1344,579,65,494.0,7518.0,1732.0,5088.0,1988,8012.0,6820.0,14832.0,16820.0,1.0,0.0,1238.0,0.3441010384310569,1.5109612822479712,0.4778836413817402,1,0.08330305354811794,0.8763083634009178,0.4042443838074235,0.8009323242884885,0.415287924514086
Chhattisgarh,bastar,9,1151,366,5,724.0,10997.0,1843.0,8185.0,1522,11721.0,10028.0,21749.0,23271.0,1.0,0.0,1652.0,0.3749048219640563,1.5945683421473493,0.47155162464721495,1,0.06483452870360377,0.9100556034256698,0.28818263372332076,0.7969449341617941,0.45332820722990186
Chhattisgarh,bemetara,9,654,88,2,575.0,7024.0,1276.0,5340.0,744,7599.0,6616.0,14215.0,14959.0,1.0,0.0,692.75,0.46757662254525406,1.7389752863170584,0.5967896830840993,1,0.03340566606389391,0.824073554378186,0.5571010727768848,0.8758096969434171,0.5677706908980505
Chhattisgarh,bijapur,3,66,31,63,294.0,3385.0,1452.0,1742.0,160,3679.0,3194.0,6873.0,7033.0,1.0,0.0,747.1111111111111,0.40795942582274347,1.9852691218130312,0.6812440448559771,1,0.14109747140908613,0.6268689504611851,0.5418613488829913,0.9289921982544636,0.49414807841542446
Chhattisgarh,bilaspur,7,1156,309,11,1952.0,15090.0,6580.0,19521.0,1476,17042.0,26101.0,43143.0,44619.0,1.0,0.0,1788.2,0.35091228469261776,1.5910977263553199,0.5489406359020904,1,0.040551879283210045,0.9282915645298455,0.25,0.845678251259615,0.4236992851886359
Chhattisgarh,dakshin bastar dantewada,9,101,34,2,158.0,801.0,889.0,2054.0,137,959.0,2943.0,3902.0,4039.0,1.0,0.0,306.0,0.37746233224068937,1.5495536999712065,0.7050368626479152,1,0.0704866109991362,0.838500738490558,0.6655234926924083,0.943974983475565,0.45648653399412886
Chhattisgarh,dantewada,9,51,27,0,84.0,314.0,766.0,1581.0,78,398.0,2347.0,2745.0,2823.0,1.0,0.0,177.5,0.3269687527188967,1.3376986037554164,0.7940051679586563,1,0.06836783822821377,0.8711571849729498,0.7015474900011214,1.0,0.3941308808879179
Chhattisgarh,dhamtari,9,614,26,2,321.0,5922.0,1081.0,5226.0,642,6243.0,6307.0,12550.0,13192.0,1.0,0.0,492.0,0.34416417766121965,1.5129936131802115,0.6304867941640995,1,0.029855727657508685,0.863258026658049,0.6133798078720143,0.8970294020787336,0.4153658965646063
Chhattisgarh,durg,4,336,38,10,1119.0,4996.0,3606.0,15585.0,384,6115.0,19191.0,25306.0,25690.0,1.0,0.0,682.5,0.4200288079340826,1.579491993494373,0.7130144977697885,1,0.02234944822241385,0.8444462476650532,0.5599745822898367,0.9489986504766145,0.5090528289058538
Chhattisgarh,gariyaband,9,446,75,2,291.0,4131.0,614.0,3353.0,523,4422.0,3967.0,8389.0,8912.0,1.0,0.0,385.5,0.39994685147125597,1.5972145287647386,0.5426070277108925,1,0.030505657988446625,0.8336999963226253,0.6432362725675626,0.8416898589626975,0.48425317075625485
Chhattisgarh,gaurela-pendra-marwahi,9,41,8,0,47.0,414.0,23.0,59.0,49,461.0,82.0,543.0,592.0,1.0,0.0,35.0,0.3571852518065724,1.5621090259159964,0.2001865091700342,1,0.04170390229371462,0.824820438019928,0.7414962807909393,0.6260612129796981,0.431445912878907
Chhattisgarh,gaurella pendra marwahi,6,403,185,43,0.0,0.0,0.0,0.0,631,0.0,0.0,0.0,631.0,1.0,0.0,491.5,0.28382502543234994,1.28382502543235,0.0,0,1.0,0.6745119086753991,0.6135199790677681,0.0,0.3408517250453859
Chhattisgarh,janjgir - champa,9,1375,241,1,740.0,9641.0,3061.0,8944.0,1617,10381.0,12005.0,22386.0,24003.0,1.0,0.0,1168.0,0.33856957580234626,1.538650546566335,0.576616685668105,1,0.03261248935487023,0.8977927684516767,0.4238683512129481,0.8631063807497341,0.40845699733260177
Chhattisgarh,janjgir champa,9,10,0,0,1.0,41.0,1.0,31.0,10,42.0,32.0,74.0,84.0,1.0,0.0,6.25,0.4010801219133972,1.65121412803532,0.4485981308411215,1,0.05518763796909492,0.79721496282618,0.7495561245467798,0.7824906870533618,0.4856526718261915
Chhattisgarh,jashpur,9,551,126,0,522.0,4687.0,1070.0,3263.0,677,5209.0,4333.0,9542.0,10219.0,1.0,0.0,635.75,0.4506292445289397,1.5000517277053589,0.4916493949321388,1,0.032885888681978066,0.8442210858881982,0.573080589092812,0.8096008784150249,0.546841993929973
Chhattisgarh,kabeerdham,9,276,25,0,229.0,2823.0,874.0,1034.0,301,3052.0,1908.0,4960.0,5261.0,1.0,0.0,238.75,0.475483121428836,1.7830060010911075,0.6196031438339267,1,0.03256273867975996,0.7926417012231645,0.6843765185212873,0.8901757626004453,0.5775346035843455
