state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Jharkhand,bokaro,9,1061,845,4,888.0,8490.0,5163.0,4590.0,1910,9378.0,9753.0,19131.0,21041.0,1.0,0.0,1450.5,0.250406335879378,1.219545092269021,0.4778688632793421,1,0.07114217399301086,0.8548863794671113,0.5027876375891864,0.8514400079889592,0.5152821350005246
Jharkhand,chatra,6,246,218,10,0.0,0.0,2614.0,3113.0,474,0.0,5727.0,5727.0,6201.0,1.0,0.0,1050.3333333333333,0.42353383983093545,1.5569699662806806,0.5559875804705748,1,0.08236401181483127,0.7607941423539907,0.5745252351415631,0.9088910049117815,0.6986945623031009
Jharkhand,deoghar,3,12,25,18,839.0,25753.0,5230.0,5790.0,55,26592.0,11020.0,37612.0,37667.0,1.0,0.0,1387.3333333333333,0.47196230511127857,1.9831521309921816,0.43144920813730037,1,0.07304253209431297,0.5471777036798011,0.5141114816009944,0.817301512624327,0.75
Jharkhand,dhanbad,7,782,722,34,0.0,0.0,7262.0,15024.0,1538,0.0,22286.0,22286.0,23824.0,1.0,0.0,2206.2,0.24428054178826947,1.3167973667844737,0.5466922688560952,1,0.08366071564002608,0.8664087890730053,0.36731382883367397,0.902054936192772,0.508792428063374
Jharkhand,dumka,4,34,32,23,0.0,0.0,9051.0,8197.0,89,0.0,17248.0,17248.0,17337.0,1.0,0.0,832.1428571428571,0.3580926298853198,1.351521040436505,0.6009700778794917,1,0.06219768720703021,0.6569810978539454,0.6136400887126927,0.9419725686283781,0.6293657099383068
Jharkhand,east singhbhum,4,55,54,11,0.0,0.0,12370.0,12771.0,120,0.0,25141.0,25141.0,25261.0,1.0,0.0,1365.1666666666667,0.2374666283233167,1.224298567042745,0.6798725990444928,1,0.062399536821897354,0.8165762089645856,0.5180852843808635,1.0,0.5015737228922628
Jharkhand,east singhbum,7,848,546,53,0.0,0.0,0.0,0.0,1447,0.0,0.0,0.0,1447.0,1.0,0.0,1447.0,0.0,1.0,0.0,0,1.0,0.7269335772615695,0.5034150801333763,0.0,0.25
Jharkhand,garhwa,9,1518,593,0,740.0,7249.0,3412.0,5713.0,2111,7989.0,9125.0,17114.0,19225.0,1.0,0.0,1613.5,0.27595064440979805,1.271182974546347,0.5149413259585919,1,0.08799029298286275,0.8475342077228282,0.47356674195977194,0.8787042798035258,0.5423439450791889
Jharkhand,giridih,7,871,921,27,0.0,0.0,5873.0,7448.0,1819,0.0,13321.0,13321.0,15140.0,1.0,0.0,2860.6,0.32594278228199636,1.366245168599227,0.45148233959052436,1,0.11914400906304146,0.8608440441954768,0.25,0.8320345166322684,0.595305947903134
Jharkhand,godda,4,79,46,11,0.0,0.0,11029.0,6501.0,136,0.0,17530.0,17530.0,17666.0,1.0,0.0,1078.0,0.2398132680123844,1.3737269255251432,0.5219407647785339,1,0.0612667091024825,0.796584039196731,0.5695654512208239,0.8838518904218823,0.5040597685612218
