state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
West Bengal,24 paraganas north,6,540,399,111,0.0,0.0,0.0,0.0,1050,0.0,0.0,0.0,1050.0,1.0,0.0,3073.5,0.6583699365544168,1.658369936554417,0.0,0,1.0,0.5649620455581564,0.5788634528086445,0.0,0.5942177667460828
West Bengal,24 paraganas south,7,364,104,22,0.0,0.0,0.0,0.0,490,0.0,0.0,0.0,490.0,1.0,0.0,490.0,0.0,1.0,0.0,0,1.0,0.684364883266061,0.7227629710084384,0.0,0.25
West Bengal,alipurduar,4,38,63,27,0.0,0.0,372.0,419.0,128,0.0,791.0,791.0,919.0,1.0,0.0,459.125,0.43536785120784965,1.6681765511429474,0.43433683798080064,1,0.1934583377225324,0.6815462397780994,0.7244826913972207,0.7171684189904003,0.4776248369421411
West Bengal,bankura,9,2931,851,43,2421.0,32028.0,6455.0,6233.0,3825,34449.0,12688.0,47137.0,50962.0,1.0,0.0,2838.75,0.22352942454089378,1.2836892921472762,0.2662847722073221,1,0.0635187899264961,0.8665090200494372,0.5919388977079678,0.633142386103661,0.3668686403273274
West Bengal,barddhaman,9,5014,1159,5,2967.0,42314.0,9025.0,10873.0,6178,45281.0,19898.0,65179.0,71357.0,1.0,0.0,3959.0,0.2237108655611868,1.1988692923836846,0.3241062791063916,1,0.06651517760762093,0.8881005929351439,0.529541593561144,0.6620531395531958,0.3669635037458004
West Bengal,bardhaman,9,534,165,0,80.0,6104.0,399.0,1689.0,699,6184.0,2088.0,8272.0,8971.0,1.0,0.0,444.0,0.2120317450211784,1.187862669245648,0.25750510986203373,1,0.05367504835589942,0.8531304161179666,0.7253251455148022,0.6287525549310169,0.3608572698997054
West Bengal,birbhum,5,204,61,13,432.0,3553.0,5958.0,6296.0,278,3985.0,12254.0,16239.0,16517.0,1.0,0.0,2215.5714285714284,0.42922311654979434,1.6125260869565219,0.4171130723433617,1,0.0674304347826087,0.8076873653757819,0.6266495987650638,0.7085565361716808,0.474412164668081
West Bengal,burdwan,10,2,0,0,0.0,0.0,0.0,1.0,2,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0,0.6666666666666666,0.7668115258699195,0.7499443005542095,0.5,0.25
West Bengal,cooch behar,3,19,12,19,1117.0,14568.0,2097.0,3132.0,50,15685.0,5229.0,20914.0,20964.0,1.0,0.0,1682.0,0.5756914102263162,1.914332199540295,0.26879653380787155,1,0.08264859877375642,0.6095678831526128,0.6563692316261454,0.6343982669039357,0.5509906749389166
West Bengal,dakshin dinajpur,5,179,42,14,210.0,1988.0,2070.0,2188.0,235,2198.0,4258.0,6456.0,6691.0,1.0,0.0,1305.2,0.4243429195598978,1.6303708063566804,0.2475062989680047,1,0.06983787254534753,0.7869969119287773,0.6773567828000111,0.6237531494840023,0.4718606348732446
