state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Himachal Pradesh,bilaspur,1,68,0,0,9.0,104.0,61,103,68,113.0,164,277.0,345.0,1.0,0.0,193.16666666666666,0.4374885065849046,1.3247051615867667,0.7694033738029411,1,0.04437892479705927,0.6965425895522708,0.6350574712643678,0.6350060046215943,0.36409661032776924
Himachal Pradesh,chamba,1,101,8,0,48.0,222.0,104,156,109,270.0,260,530.0,639.0,1.0,0.0,343.1666666666667,0.4841762455738941,1.5945726148183024,0.6470324848322028,1,0.04406540255960279,0.6285843398121667,0.5374647581869443,0.3068547758460437,0.6416393724526015
Himachal Pradesh,hamirpur,1,57,1,0,6.0,105.0,98,168,58,111.0,266,377.0,435.0,1.0,0.0,234.0,0.4293422968009946,1.3117853605834158,0.7870100573362158,1,0.0421355901683623,0.8204373887991606,0.6084905660377359,0.6822202962288728,0.31567015804641296
Himachal Pradesh,kangra,1,232,5,2,35.0,465.0,463,590,239,500.0,1053,1553.0,1792.0,1.0,0.0,785.0,0.4439139685061232,1.3695602196772956,0.7514525213997427,1,0.04010387841117119,0.8364956672205978,0.25,0.5868687856864057,0.40229380060000547
Himachal Pradesh,kinnaur,1,9,0,0,1.0,26.0,7,29,9,27.0,36,63.0,72.0,1.0,0.0,33.333333333333336,0.5024044733860126,1.618738245853992,0.7705788635156665,1,0.034193879295606085,0.6350549447426526,0.7390479288657559,0.6381582117918478,0.75
Himachal Pradesh,kullu,1,67,6,6,13.0,122.0,82,120,79,135.0,202,337.0,416.0,1.0,0.0,217.57142857142858,0.47343914727932235,1.5770383415206846,0.7107054856698223,1,0.047054098310007106,0.3980272440318765,0.6191792917557394,0.47760105088281185,0.5778109673421279
Himachal Pradesh,lahaul and spiti,1,5,1,0,0.0,13.0,13,47,6,13.0,60,73.0,79.0,1.0,0.0,16.5,0.49111521434916616,1.6680369989722508,0.812285789612444,1,0.025436793422404933,0.7134221626631694,0.75,0.75,0.6828891866841528
Himachal Pradesh,mandi,1,163,4,0,23.0,195.0,174,422,167,218.0,596,814.0,981.0,1.0,0.0,494.3333333333333,0.4420457470812298,1.421120421023475,0.7938300668698277,1,0.04107748770860744,0.7476019379885347,0.43911299067447407,0.7005089147682941,0.391187858317215
Himachal Pradesh,shimla,1,102,8,1,25.0,237.0,117,234,111,262.0,351,613.0,724.0,1.0,0.0,341.5,0.4561898661167935,1.40663662746296,0.7296878415164822,1,0.03912097143729953,0.7191712699884306,0.5385491216655823,0.5285043616990448,0.47526984536478994
Himachal Pradesh,sirmaur,1,90,5,1,12.0,134.0,143,147,96,146.0,290,436.0,532.0,1.0,0.0,331.1666666666667,0.42247935139980203,1.3267472240365774,0.6258307679028685,1,0.05407685608534727,0.7318273971393066,0.5452721752331382,0.25,0.27487227697086736
Himachal Pradesh,solan,1,77,2,0,14.0,96.0,207,268,79,110.0,475,585.0,664.0,1.0,0.0,240.5,0.41829538217506895,1.3464142813173283,0.7865494739645759,1,0.03701138811942136,0.8483983687320752,0.6042615484710475,0.6809851903909692,0.25
Himachal Pradesh,una,1,51,1,0,15.0,105.0,108,175,52,120.0,283,403.0,455.0,1.0,0.0,246.5,0.4357134821837916,1.3407372517910705,0.7594956253216675,1,0.03666427030913012,0.8378063642075613,0.6003578399479506,0.6084372686593469,0.3535446927195922
