state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Haryana,ambala,1,112,5,0,29.0,308.0,598,1000,117,337.0,1598,1935.0,2052.0,1.0,0.0,584.3333333333334,0.4238800846675427,1.4121847548880702,0.6571696931747025,1,0.04967412864834231,0.8704078582733722,0.6145437766510384,0.6183190010087173,0.44932874429055775
Haryana,bhiwani,1,171,9,0,39.0,536.0,658,755,180,575.0,1413,1988.0,2168.0,1.0,0.0,661.5,0.4171279534723204,1.3662014563106797,0.7128235842150795,1,0.050174453883495146,0.8335513019676307,0.5899876954409486,0.7000711043241731,0.43190405714259206
Haryana,charkhi dadri,1,40,3,0,34.0,205.0,55,83,43,239.0,138,377.0,420.0,1.0,0.0,158.66666666666666,0.4177551063668871,1.3771425381050753,0.4957839495253258,1,0.05315169448941991,0.7609896800056034,0.75,0.38125338453828,0.43352250066298725
Haryana,faridabad,1,354,79,7,107.0,969.0,903,847,440,1076.0,1750,2826.0,3266.0,1.0,0.0,1729.9,0.396685851799973,1.4727412003750249,0.4730995099933918,1,0.05116367110209369,0.6947694797701989,0.25,0.3479313542255668,0.3791507536316056
Haryana,fatehabad,1,134,10,0,44.0,396.0,331,746,144,440.0,1077,1517.0,1661.0,1.0,0.0,496.8333333333333,0.44035143826081485,1.4051591912619104,0.6358911051913456,1,0.04618483228755132,0.7981013691286007,0.6423881451937968,0.5870620791528789,0.49183505451589404
Haryana,gurugram,1,274,76,10,119.0,1030.0,1098,756,360,1149.0,1854,3003.0,3363.0,1.0,0.0,1045.7,0.34663945354459663,1.3964948146255245,0.40643136695521936,1,0.04453672352477693,0.6697987171546224,0.46772705093663147,0.25,0.25
Haryana,hisar,1,182,13,0,66.0,850.0,557,887,195,916.0,1444,2360.0,2555.0,1.0,0.0,988.5,0.4061472289561433,1.2963854041358767,0.6463956442096528,1,0.05662484963052071,0.8835575354250566,0.4859293124297261,0.6024925934089772,0.403566976031406
Haryana,jhajjar,1,128,13,0,35.0,268.0,484,470,141,303.0,954,1257.0,1398.0,1.0,0.0,511.0,0.421636531601473,1.348178137651822,0.652107378590656,1,0.05350411838615105,0.788657056777896,0.6378800093344931,0.6108827758472086,0.44353898559869687
Haryana,jind,1,149,6,0,31.0,438.0,572,1049,155,469.0,1621,2090.0,2245.0,1.0,0.0,720.1666666666666,0.4678938683992502,1.6416835016835016,0.6894631925358874,1,0.048496071829405164,0.7989960656775211,0.571318709294185,0.6657561423629097,0.5629116101368099
Haryana,kaithal,1,106,3,1,48.0,473.0,287,395,110,521.0,682,1203.0,1313.0,1.0,0.0,567.0,0.5082401547968686,1.6160410801032836,0.6631157229035872,1,0.04962873273133087,0.6863625820113343,0.6200596134671277,0.627053348735813,0.6670300577401644
