state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Jammu And Kashmir,doda,7,261,260,17,0.0,0.0,0.0,0.0,538,0.0,0.0,0.0,538.0,1.0,0.0,538.0,0.0,1.0,,0,1.0,0.638421536505386,0.40696294944332906,,0.25
Jammu And Kashmir,shopian,7,308,84,20,0.0,0.0,0.0,0.0,412,0.0,0.0,0.0,412.0,1.0,0.0,412.0,0.0,1.0,,0,1.0,0.5525095820405184,0.4874520897974083,,0.25
Jammu and Kashmir,anantnag,1,180,36,0,83.0,549.0,1553.0,635.0,216,632.0,2188.0,2820.0,3036.0,1.0,0.0,668.5,0.5446971813671497,2.0791811048711515,0.6611414948815033,1,0.053252081092922295,0.8082293727075177,0.323599196933747,0.6287052674966382,0.6532437163997102
Jammu and Kashmir,bandipora,10,1,0,0,0.0,1.0,2.0,3.0,1,1.0,5.0,6.0,7.0,1.0,0.0,1.0,0.5555555555555556,1.5555555555555556,0.7142857142857143,1,0.2222222222222222,0.7523173655236869,0.75,0.7621550833716058,0.6612822583851885
Jammu and Kashmir,bandipore,1,67,38,1,42.0,210.0,343.0,191.0,106,252.0,534.0,786.0,892.0,1.0,0.0,306.0,0.5517830297042093,1.9938155715074544,0.6842749417663547,1,0.06758696852567642,0.7193322345419109,0.5551651761270304,0.6867953902220487,0.6584894270716637
Jammu and Kashmir,baramulla,1,328,65,2,103.0,574.0,656.0,663.0,395,677.0,1319.0,1996.0,2391.0,1.0,0.0,671.5714285714286,0.4398971423429551,1.704774457392033,0.7203096193825917,1,0.05790692518045872,0.8162552809043511,0.3216371600657054,0.7772816396563496,0.5756594022880024
Jammu and Kashmir,budgam,1,141,16,0,57.0,367.0,385.0,334.0,157,424.0,719.0,1143.0,1300.0,1.0,0.0,528.1666666666666,0.4452641777146273,1.674444353317477,0.6660526719733351,1,0.0649758057902075,0.8302099911214146,0.4132445093386871,0.6410376657514589,0.5796326618592924
Jammu and Kashmir,doda,1,188,63,0,23.0,256.0,248.0,331.0,251,279.0,579.0,858.0,1109.0,1.0,0.0,758.3333333333334,0.47932531149177066,1.5472197705207413,0.7674264584138197,1,0.1115524173776601,0.8432049050639844,0.2662134209405609,0.8955961725221693,0.6048483939007349
Jammu and Kashmir,ganderbal,1,79,7,0,29.0,137.0,443.0,176.0,86,166.0,619.0,785.0,871.0,1.0,0.0,170.83333333333334,0.5110429423534102,1.9524790274777715,0.6429933269780743,1,0.051489425830110014,0.7549304140346942,0.6415100079089858,0.5831336193977164,0.62832921183326
Jammu and Kashmir,jammu,1,152,61,4,32.0,460.0,499.0,621.0,217,492.0,1120.0,1612.0,1829.0,1.0,0.0,783.7142857142857,0.4116645349246859,1.408783122307793,0.7827397728243232,1,0.04475590653961624,0.8158596323641408,0.25,0.9340492538060248,0.5547585753176436
Jammu and Kashmir,kargil,1,10,7,0,7.0,29.0,19.0,20.0,17,36.0,39.0,75.0,92.0,1.0,0.0,97.83333333333333,0.5673451279354889,1.7839029768467476,0.6098867147270854,1,0.10786475560455715,0.7337433374511805,0.688142605098254,0.5,0.6700101739020548
Jammu and Kashmir,kathua,1,119,30,0,13.0,240.0,336.0,279.0,149,253.0,615.0,868.0,1017.0,1.0,0.0,562.1666666666666,0.43154698696849236,1.5380463401790416,0.7140961543018269,1,0.07400824995611725,0.843140126192527,0.39152521749711017,0.761679081555592,0.569477714919505
Jammu and Kashmir,kishtwar,1,53,17,1,16.0,100.0,274.0,303.0,71,116.0,577.0,693.0,764.0,1.0,0.0,265.8333333333333,0.44237798194806227,1.7232605622742265,0.7743059522449446,1,0.08350348149311554,0.7407399185977175,0.5808237512928149,0.9128711874789953,0.5774959878558661
Jammu and Kashmir,kulgam,1,55,25,0,46.0,166.0,217.0,77.0,80,212.0,294.0,506.0,586.0,1.0,0.0,253.0,0.5374825894064899,1.8774228873882097,0.7232677667426672,1,0.05541157145464501,0.7600575796159654,0.5890217192918416,0.7847098082315722,0.6479026957848761
Jammu and Kashmir,kupwara,1,241,57,1,102.0,544.0,346.0,296.0,299,646.0,642.0,1288.0,1587.0,1.0,0.0,587.8333333333334,0.42717470948559144,1.5825972179916743,0.6626234995590908,1,0.059684570345551156,0.8203624890823316,0.37512928149905694,0.6324267117772597,0.5662408826360875
Jammu and Kashmir,leh,1,1,3,0,1.0,20.0,15.0,6.0,4,21.0,21.0,42.0,46.0,1.0,0.0,37.333333333333336,0.552108343452454,1.6204712439827715,0.7080311576685469,1,0.05675196351659488,0.7637073336821157,0.7267901685222364,0.7464493408035924,0.658730259463175
Jammu and Kashmir,poonch,1,101,38,2,69.0,244.0,416.0,410.0,141,313.0,826.0,1139.0,1280.0,1.0,0.0,431.7142857142857,0.42617674278011225,1.5738802699623105,0.6717138996353405,1,0.05297572092207906,0.7734501718686608,0.4748585508304435,0.655253507052555,0.5655020798353266
Jammu and Kashmir,pulwama,1,122,7,1,71.0,389.0,210.0,240.0,130,460.0,450.0,910.0,1040.0,1.0,0.0,383.8333333333333,0.5590733346839809,1.8070203339770534,0.7026754890678941,1,0.05232307168010905,0.7505848630257159,0.5054450325485186,0.7330007852192418,0.6638864986451787
Jammu and Kashmir,rajouri,1,115,74,1,49.0,211.0,442.0,573.0,190,260.0,1015.0,1275.0,1465.0,1.0,0.0,517.0,0.46671231870602253,1.5129794987823624,0.7952625143712247,1,0.05357605485414256,0.8163025748072826,0.42037780616900894,0.9654949608352902,0.5955108936164815
Jammu and Kashmir,ramban,1,66,33,0,32.0,121.0,171.0,140.0,99,153.0,311.0,464.0,563.0,1.0,0.0,374.8333333333333,0.675394506119502,2.1297501178689298,0.8090035851992153,1,0.07068992613547069,0.7244385989255264,0.5111942568595242,1.0,0.75
