state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Rajasthan,ajmer,1,389,212,7,161.0,1519.0,1518.0,1463.0,608,1680.0,2981.0,4661.0,5269.0,1.0,0.0,1803.375,0.40584017099120673,1.5484372469635628,0.6672528625420836,1,0.058408906882591094,0.7469498715151164,0.5292769961356338,0.5836264312710417,0.47066995212902163
Rajasthan,alwar,1,572,410,4,277.0,2063.0,2609.0,2295.0,986,2340.0,4904.0,7244.0,8230.0,1.0,0.0,2992.0,0.4190579134668155,1.6475405475919682,0.7526797243479089,1,0.06820962402129778,0.7636836921343918,0.3837152343112175,0.6263398621739544,0.47785691588429147
Rajasthan,balotra,1,0,1,0,4.0,23.0,0.0,0.0,1,27.0,0.0,27.0,28.0,1.0,0.0,1.0,0.9027777777777778,1.9027777777777777,0.48257839721254353,1,0.003472222222222222,0.6935254662051866,0.75,0.49128919860627174,0.7408728687916976
Rajasthan,banswara,1,192,239,2,92.0,864.0,683.0,813.0,433,956.0,1496.0,2452.0,2885.0,1.0,0.0,1442.8333333333333,0.5119199045308896,1.7174379263090254,0.6109755692757087,1,0.0670248759300408,0.6820262377925665,0.5734297610624286,0.5554877846378543,0.5283493328194274
Rajasthan,baran,1,172,98,3,61.0,662.0,585.0,1154.0,273,723.0,1739.0,2462.0,2735.0,1.0,0.0,918.875,0.5438771848480767,1.9395076052577205,0.6943865364651469,1,0.05841823354578254,0.6913575243964647,0.6375949082893376,0.5971932682325735,0.54572565981176
Rajasthan,barmer,1,510,413,14,158.0,1200.0,1921.0,1843.0,937,1358.0,3764.0,5122.0,6059.0,1.0,0.0,3380.8333333333335,0.4714925620998766,1.6398721832593268,0.7916759924308706,1,0.0935340037717927,0.7342589343570476,0.3360978065639797,0.6458379962154353,0.5063675272796586
Rajasthan,beawar,12,1,0,0,40.0,713.0,14.0,287.0,1,753.0,301.0,1054.0,1055.0,1.0,0.0,1.0,0.0,1.0,0.2855787476280835,1,0.0009478672985781991,0.9,0.75,0.3927893738140418,0.25
Rajasthan,bharatpur,1,363,416,6,139.0,1238.0,1371.0,1602.0,785,1377.0,2973.0,4350.0,5135.0,1.0,0.0,2521.625,0.45830629869020584,1.6499010396049918,0.7086961268662827,1,0.08405591783162149,0.7168716200644698,0.4413184428237087,0.6043480634331413,0.49919767982895924
Rajasthan,bhilwara,1,424,230,7,153.0,1363.0,1473.0,2012.0,661,1516.0,3485.0,5001.0,5662.0,1.0,0.0,1864.857142857143,0.4614287137443886,1.6660297467096714,0.6812060937866738,1,0.06651482494891901,0.7313812184004809,0.5217477509699793,0.590603046893337,0.5008954496156479
Rajasthan,bikaner,1,283,370,6,126.0,1155.0,1201.0,1681.0,659,1281.0,2882.0,4163.0,4822.0,1.0,0.0,1720.4444444444443,0.40702126658918963,1.6915081573659059,0.7455364261450668,1,0.06961072123792354,0.7137567964835355,0.5394328634409187,0.6227682130725334,0.4713121564441591
Rajasthan,bundi,1,180,108,3,94.0,638.0,561.0,715.0,291,732.0,1276.0,2008.0,2299.0,1.0,0.0,752.0,0.48730400067970037,1.7718665642056315,0.7044802379406405,1,0.05926976808338752,0.6834282720929994,0.6580308060741304,0.6022401189703203,0.5149647772413345
Rajasthan,chittorgarh,1,239,132,3,79.0,833.0,572.0,673.0,374,912.0,1245.0,2157.0,2531.0,1.0,0.0,1087.4285714285713,0.4610764183482791,1.6124362805413957,0.6649178660236607,1,0.06690103708911935,0.689196176460522,0.616953448771878,0.5824589330118304,0.5007038938906321
Rajasthan,churu,1,293,311,4,106.0,1006.0,1329.0,1468.0,608,1112.0,2797.0,3909.0,4517.0,1.0,0.0,1843.25,0.40703902471469217,1.551705536737441,0.7231985342232692,1,0.0716621875774526,0.7310152055953462,0.5243938115713275,0.6115992671116346,0.4713218121780776
Rajasthan,dausa,1,201,156,2,112.0,728.0,1080.0,1238.0,359,840.0,2318.0,3158.0,3517.0,1.0,0.0,1287.0,0.4668394086179211,1.5302138834877907,0.7411348475436843,1,0.06499835862730739,0.7425284401096107,0.5925134708539705,0.6205674237718422,0.5038374397488845
Rajasthan,deeg,1,5,9,1,4.0,55.0,1.0,5.0,15,59.0,6.0,65.0,80.0,1.0,0.0,14.5,0.7998358122237995,2.177837837837838,0.4785496817049543,1,0.023513513513513513,0.5301718654032606,0.7483467588308932,0.4892748408524772,0.6848996058311023
Rajasthan,dholpur,1,190,148,3,94.0,640.0,522.0,644.0,341,734.0,1166.0,1900.0,2241.0,1.0,0.0,1266.875,0.48258820361386506,1.8097440006104308,0.6384138273238504,1,0.07733394376406852,0.6703421717090603,0.594978024819028,0.5692069136619252,0.5124006281325204
Rajasthan,didwana-kuchaman,1,1,1,0,4.0,50.0,0.0,3.0,2,54.0,3.0,57.0,59.0,1.0,0.0,2.0,0.9195637355146558,1.9195637355146558,0.31305536568694464,1,0.0027266530334014998,0.6919527334571494,0.7498775376911773,0.4065276828434723,0.75
Rajasthan,dungarpur,1,215,199,2,88.0,853.0,624.0,846.0,416,941.0,1470.0,2411.0,2827.0,1.0,0.0,1144.7142857142858,0.5362250197253486,1.737836130028786,0.7014079584602326,1,0.06251023894778722,0.6729832949514608,0.6099381079378903,0.6007039792301163,0.5415649013851321
Rajasthan,hanumangarh,1,172,106,2,81.0,931.0,897.0,1394.0,280,1012.0,2291.0,3303.0,3583.0,1.0,0.0,848.8571428571429,0.41644269226765396,1.5322640607573423,0.6824036039758146,1,0.045082433632011414,0.758575208952317,0.6461694567338718,0.5912018019879073,0.47643492570668955
Rajasthan,jaipur,1,979,623,14,483.0,4037.0,4363.0,4662.0,1616,4520.0,9025.0,13545.0,15161.0,1.0,0.0,4083.8888888888887,0.36337731173045607,1.5928695514148905,0.6569989015786506,1,0.05401921793752554,0.8122349080157196,0.25,0.5784994507893253,0.44758136260510717
Rajasthan,jaisalmer,1,91,85,1,30.0,396.0,610.0,463.0,177,426.0,1073.0,1499.0,1676.0,1.0,0.0,609.3333333333334,0.48056931091869237,1.59886656157085,0.7475084486729664,1,0.0729551214255782,0.7153766189259908,0.6755020954661732,0.6237542243364832,0.5113028832904825
Rajasthan,jalore,1,356,542,5,100.0,814.0,1072.0,1204.0,903,914.0,2276.0,3190.0,4093.0,1.0,0.0,2135.125,0.47538937908804196,1.7029884822897667,0.7732695872488745,1,0.10893355952092448,0.6397806240365727,0.48865012518369344,0.6366347936244372,0.5084863673543949
Rajasthan,jhalawar,1,246,163,2,117.0,789.0,614.0,944.0,411,906.0,1558.0,2464.0,2875.0,1.0,0.0,1201.857142857143,0.5885819463820782,1.891433657705771,0.679658390821559,1,0.07200383427050436,0.6594570330992462,0.6029402617194486,0.5898291954107795,0.5700332525361411
Rajasthan,jhunjhunu,1,312,130,1,107.0,1055.0,1227.0,1340.0,443,1162.0,2567.0,3729.0,4172.0,1.0,0.0,1616.6666666666667,0.43924782564639,1.5542158480348607,0.6969316238022434,1,0.06839559447758457,0.748487715492937,0.5521417297120774,0.5984658119011217,0.488834900008619
Rajasthan,jodhpur,1,570,423,67,205.0,1730.0,2461.0,2294.0,1060,1935.0,4755.0,6690.0,7750.0,1.0,0.0,2853.6666666666665,0.38360116760333274,1.5686061787287198,0.7541102129936232,1,0.06913919906963722,0.7435738859414329,0.4006558536983617,0.6270551064968116,0.4585778031408781
Rajasthan,karauli,1,231,193,3,106.0,671.0,861.0,886.0,427,777.0,1747.0,2524.0,2951.0,1.0,0.0,1335.125,0.4702806535697265,1.6475645764691007,0.707979187538377,1,0.07944039924732063,0.6942745719900679,0.5866199722418767,0.6039895937691885,0.5057085688609299
Rajasthan,khairthal-tijara,6,0,0,1,0.0,0.0,0.0,23.0,1,0.0,23.0,23.0,24.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0.041666666666666664,0.6629277570214316,0.75,0.75,0.25
Rajasthan,kota,1,304,137,3,106.0,998.0,854.0,1074.0,444,1104.0,1928.0,3032.0,3476.0,1.0,0.0,1313.5714285714287,0.4532939563615305,1.620812377461427,0.6006976903258168,1,0.0653183871792686,0.7133635363420319,0.5892594723623952,0.5503488451629084,0.49647228835521323
Rajasthan,kotputli-behror,1,1,1,0,3.0,32.0,0.0,0.0,2,35.0,0.0,35.0,37.0,1.0,0.0,2.0,0.0,1.0,0.0,1,0.05405405405405406,0.8516742098007495,0.7498775376911773,0.25,0.25
Rajasthan,nagaur,1,554,428,7,248.0,1423.0,2245.0,2517.0,989,1671.0,4762.0,6433.0,7422.0,1.0,0.0,2592.375,0.4130257803991683,1.5990079521297536,0.7733108048647412,1,0.06803598141878592,0.7458254684533292,0.43265423447450063,0.6366554024323706,0.47457702737048924
Rajasthan,pali,1,334,197,2,86.0,993.0,1153.0,1870.0,533,1079.0,3023.0,4102.0,4635.0,1.0,0.0,1701.2857142857142,0.4562373694769443,1.522768432644583,0.7985853729117277,1,0.06215455916661013,0.7430621052710947,0.5417790857702685,0.6492926864558639,0.4980727283256773
Rajasthan,pratapgarh,1,114,84,0,39.0,420.0,331.0,654.0,198,459.0,985.0,1444.0,1642.0,1.0,0.0,807.0,0.4811617758701169,1.510205160045973,0.6339848987368569,1,0.06396554685126227,0.7151760621694006,0.6512953790888805,0.5669924493684284,0.5116250278730399
Rajasthan,rajsamand,1,155,78,9,56.0,643.0,533.0,580.0,242,699.0,1113.0,1812.0,2054.0,1.0,0.0,948.6666666666666,0.4684437859129653,1.5719280372317024,0.6783828669161936,1,0.06589640880779828,0.7098685787532519,0.6339465520056604,0.5891914334580968,0.5047097976035286
Rajasthan,salumbar,12,1,0,0,30.0,229.0,10.0,107.0,1,259.0,117.0,376.0,377.0,1.0,0.0,1.0,0.0,1.0,0.31117021276595747,1,0.002652519893899204,0.8984480069110947,0.75,0.40558510638297873,0.25
Rajasthan,sawai madhopur,1,201,136,17,52.0,589.0,798.0,978.0,354,641.0,1776.0,2417.0,2771.0,1.0,0.0,1192.5714285714287,0.4376546259739303,1.5357790402514202,0.715866162978953,1,0.07207611679991711,0.7110499431052609,0.6040774117299453,0.6079330814894766,0.48796861983089534
Rajasthan,sikar,1,338,246,1,162.0,1254.0,1573.0,1722.0,585,1416.0,3295.0,4711.0,5296.0,1.0,0.0,1532.2222222222222,0.4102524167777131,1.5381477021513688,0.7064162931865887,1,0.04956954654109527,0.7471527793822323,0.5624829913459968,0.6032081465932944,0.47306904944881584
Rajasthan,sirohi,1,179,179,5,55.0,524.0,474.0,689.0,363,579.0,1163.0,1742.0,2105.0,1.0,0.0,1359.2222222222222,0.42418970443955356,1.5374805212928435,0.7626205526148997,1,0.09483901478443564,0.682608932602004,0.5836689707723289,0.6313102763074498,0.48064725589800783
Rajasthan,sri ganganagar,1,414,134,3,71.0,821.0,850.0,1331.0,551,892.0,2181.0,3073.0,3624.0,1.0,0.0,1159.8333333333333,0.4602753383972464,1.6168202373536762,0.6743875049291066,1,0.05629666782619951,0.6873083256548237,0.6080865944592608,0.5871937524645533,0.5002683178016162
Rajasthan,tonk,1,173,104,4,77.0,755.0,907.0,1143.0,281,832.0,2050.0,2882.0,3163.0,1.0,0.0,1022.1428571428571,0.4594164526631758,1.5959062284297265,0.6827685717915676,1,0.06097197249230926,0.7415891114897429,0.6249484880764475,0.5913842858957838,0.49980131062152666
Rajasthan,udaipur,1,435,477,6,189.0,1598.0,1534.0,1967.0,918,1787.0,3501.0,5288.0,6206.0,1.0,0.0,2223.75,0.44089758382845623,1.5673507013188355,0.7247197495150763,1,0.062118307616563485,0.7232068695734947,0.4777969030642791,0.6123598747575382,0.48973193308982405
