state,district,total_months,active_months,total_E,total_DU,total_BU,total_U,total_T,avg_monthly_enrolment,monthly_volatility,peak_load_ratio,sum_age_0_5,sum_age_5_17,zero_months,activity_ratio,zero_month_ratio,biometric_burden,update_dominant,enrollment_update_balance,access,responsiveness,inclusion,stability,visibility,DEI,ASS,UBS,SRS
Andhra Pradesh,alluri sitharama raju,11,11,1580.0,13300.0,33741,47041.0,48621.0,143.63636363636363,0.4979112824240429,1.700191275374838,1368.0,176.0,0,1.0,0.0,0.7172679152228907,1,0.03249624647785936,0.5317316713577268,0.012655707666147863,0.8299947779993918,0.6731662128354124,1.0,0.6095096739717358,0.7182683286422731,0.7040809447406275,0.4338696525206345
Andhra Pradesh,anakapalli,11,11,652.0,15412.0,18010,33422.0,34074.0,59.27272727272727,0.610900659537701,2.4160356870341024,624.0,19.0,0,1.0,0.0,0.5388666148046197,1,0.01913482420613958,0.5006366438815172,0.7222660539034633,0.8988567903235867,0.03179844974467272,1.0,0.6307115875706479,0.7493633561184827,0.41086024693179873,0.7182015502553273
Andhra Pradesh,ananthapuramu,11,11,12672.0,160731.0,412118,572849.0,585521.0,1152.0,0.48321987397237814,1.620013628887777,11493.0,1165.0,0,1.0,0.0,0.7194182061939534,1,0.021642263898305952,0.9033976678729393,0.5890987074980304,0.9962243510897458,0.7501259282951234,1.0,0.8477693309511677,0.3466023321270607,0.707615166842982,0.39689948636726774
Andhra Pradesh,annamayya,11,11,1291.0,30800.0,24298,55098.0,56389.0,117.36363636363636,0.5788553696969565,1.9308375747042863,1095.0,73.0,0,1.0,0.0,0.44099604341355403,1,0.02289453616840164,0.5220479828441228,0.5225919134535938,0.27418281556577007,0.35443705299829603,1.0,0.5346519529723566,0.7279520171558772,0.25,0.6375612431164381
Andhra Pradesh,bapatla,11,11,633.0,13921.0,19384,33305.0,33938.0,57.54545454545455,0.6191235687414598,2.182951264069774,525.0,81.0,0,1.0,0.0,0.5820147125056297,1,0.018651658907419412,0.5,0.7479264280718896,0.6776493062877164,0.12735953814726886,1.0,0.610587054501375,0.75,0.48177853781505253,0.738894074088368
Andhra Pradesh,chittoor,11,11,10245.0,166281.0,354039,520320.0,530565.0,931.3636363636364,0.46978528598278607,1.6585677532441832,9135.0,1057.0,0,1.0,0.0,0.6804255073800738,1,0.01930960391280993,0.8220747889022919,0.712983697157048,0.9650298153120447,0.7647040456121976,1.0,0.8529584693967165,0.42792521109770804,0.643526697034472,0.36309204361517666
Andhra Pradesh,dr. b.r. ambedkar konaseema,11,11,813.0,15708.0,23927,39635.0,40448.0,73.9090909090909,0.6235369028099315,2.088063686708861,747.0,45.0,0,1.0,0.0,0.6036836129683361,1,0.020099881329113924,0.5060313630880579,0.671012938385809,0.80664407382368,0.16357991351396317,1.0,0.629453657762302,0.743968636911942,0.5173935815368642,0.75
Andhra Pradesh,east godavari,11,11,10232.0,154157.0,426170,580327.0,590559.0,930.1818181818181,0.45669109609767944,1.6798981981478567,9264.0,951.0,0,1.0,0.0,0.7343618339315593,1,0.017325957270992398,0.8216391904570433,0.8183329744785126,0.9919562383516486,0.7870160825843471,1.0,0.8837888971743103,0.4283608095429567,0.732176540233999,0.33014119500942096
Andhra Pradesh,eluru,11,11,784.0,21519.0,26755,48274.0,49058.0,71.27272727272727,0.5759798053084372,1.9590484732357616,697.0,70.0,0,1.0,0.0,0.5542320918092555,1,0.01598108361531249,0.5050596434794263,0.8897577256049239,0.838437645798557,0.3476027421535302,1.0,0.7161715514072875,0.7449403565205737,0.43611497253582454,0.6303250347176296
Andhra Pradesh,guntur,11,11,12741.0,169626.0,410382,580008.0,592749.0,1158.2727272727273,0.45429366838652746,1.58405834510054,10975.0,1719.0,0,1.0,0.0,0.7075454131667149,1,0.02149476422566719,0.9057096903900281,0.5969322518350421,0.9764111431376393,0.8408503449114701,1.0,0.8639806860548358,0.3442903096099718,0.6881010228977055,0.32410819272011826
Andhra Pradesh,kakinada,11,11,1217.0,29679.0,26104,55783.0,57000.0,110.63636363636364,0.5827427164376194,2.167578947368421,1060.0,125.0,0,1.0,0.0,0.4679561873689117,1,0.021350877192982457,0.5195684224634768,0.604573932863161,0.8030871027773594,0.22657718772940638,1.0,0.6307613291666807,0.7304315775365233,0.29431174103037444,0.6473435492425585
Andhra Pradesh,krishna,11,11,8795.0,117805.0,334270,452075.0,460870.0,799.5454545454545,0.42854201345306003,1.5991494347646842,7754.0,997.0,0,1.0,0.0,0.7394127080683515,1,0.019083472562761734,0.7734888084707143,0.7249932828388351,0.9663364397680339,0.8981261873331252,1.0,0.8725889436821417,0.4765111915292856,0.7404781660375243,0.25930549087252414
Andhra Pradesh,kurnool,11,11,15555.0,170739.0,474864,645603.0,661158.0,1414.090909090909,0.4248441461866712,1.4135531900090448,13944.0,1579.0,0,1.0,0.0,0.73553561554082,1,0.023526902797818373,1.0,0.48900762177238066,0.9889217677450016,1.0,1.0,0.8955858779034764,0.25,0.7341057697953064,0.25
Andhra Pradesh,nandyal,11,11,1132.0,26042.0,24218,50260.0,51392.0,102.9090909090909,0.5840608033375648,1.7737585616438356,1052.0,74.0,0,1.0,0.0,0.4818543573418225,1,0.022026774595267747,0.516720278783005,0.5686777700218979,0.9640553018065114,0.41968286492567763,1.0,0.6938272431074184,0.733279721216995,0.3171547981615054,0.6506604464519636
Andhra Pradesh,ntr,11,11,1174.0,32546.0,28161,60707.0,61881.0,106.72727272727273,0.522245778011579,1.9747418432152033,957.0,154.0,0,1.0,0.0,0.46388390136228114,1,0.01897189767456893,0.5181275968368851,0.730918901641368,0.5932413560349024,0.4749943765205587,1.0,0.6634564462067429,0.7318724031631149,0.2876185244353061,0.4951061464952904
Andhra Pradesh,palnadu,11,11,1082.0,25971.0,23462,49433.0,50515.0,98.36363636363636,0.5270926106461642,1.7498960704741167,924.0,131.0,0,1.0,0.0,0.4746222159286307,1,0.021419380382064732,0.5150449001474333,0.6009358043215685,0.813364322438485,0.574942062000127,1.0,0.7008574177815228,0.7349550998525667,0.3052680375445348,0.5073029490283973
Andhra Pradesh,parvathipuram manyam,11,11,648.0,9690.0,20246,29936.0,30584.0,58.90909090909091,0.4796033451773266,1.7637980643473712,594.0,45.0,0,1.0,0.0,0.676309460181721,1,0.02118754904525242,0.5005026135906715,0.6132481099907189,0.8982034662406729,0.6875125476573002,1.0,0.7398933474958727,0.7494973864093285,0.636761554466086,0.38779867953234926
Andhra Pradesh,prakasam,11,11,10390.0,124038.0,298148,422186.0,432576.0,944.5454545454545,0.4815660073014508,1.6997036358928834,8219.0,2109.0,0,1.0,0.0,0.7062005845764663,1,0.024018900724959314,0.8269333869454496,0.4628781564859289,0.9589417297634971,0.7145414645062642,1.0,0.7926589475402279,0.42306661305455034,0.6858906602112147,0.39273761680786756
Andhra Pradesh,sri potti sriramulu nellore,11,11,11431.0,91030.0,263161,354191.0,365622.0,1039.1818181818182,0.47280358737664424,1.6822729485643642,7897.0,2868.0,0,1.0,0.0,0.7429917756238865,1,0.0312645300337507,0.8618147701380512,0.07807080454696694,0.5579718189976599,0.7452854004687453,1.0,0.6486285588302847,0.38818522986194876,0.7463607279004615,0.37068744227276623
Andhra Pradesh,sri sathya sai,11,11,1169.0,28102.0,25405,53507.0,54676.0,106.27272727272727,0.5477549900885205,1.881282463969566,1064.0,77.0,0,1.0,0.0,0.4747976900218663,1,0.021380496012875852,0.517960058973328,0.6030009101255913,0.8210447184124081,0.4574157401060911,1.0,0.6798842855234837,0.732039941026672,0.3055564470793604,0.5592987534892868
Andhra Pradesh,srikakulam,11,11,5588.0,127943.0,268330,396273.0,401861.0,508.0,0.48594581951055776,1.744075687862221,5297.0,283.0,0,1.0,0.0,0.6771341978888291,1,0.013905305565854861,0.6660300227851494,1.0,0.9937183247734921,0.6813888089818411,1.0,0.8682274313080965,0.5839699772148506,0.6381170948428686,0.40375918670186084
