state,district,DEI,ASS,UBS,SRS
Karnataka,bagalkot,0.8349607145074733,0.6229677597134197,0.8914726683211263,0.4319035836389349
Karnataka,ballari,0.8346174355764286,0.625006888950124,0.9498945887530245,0.4332806957940284
Karnataka,belagavi,0.8493301574839943,0.4893496831082943,0.931212670963899,0.45435189720202374
Karnataka,bengaluru,0.7323978483831235,0.25,0.8557925625043736,0.4180399010933483
Karnataka,bengaluru rural,0.6321684155343741,0.6678561587214109,0.8416043479024093,0.4538530249918975
Karnataka,bengaluru south,0.6650492603301361,0.75,0.7785607750757546,0.75
Karnataka,bengaluru urban,0.7426291949843496,0.31160099200881786,1.0,0.4006664579790191
Karnataka,bidar,0.812437252787066,0.6631716726370901,0.9494609632180722,0.44029655186573335
Karnataka,chamarajanagar,0.7890734743784151,0.7049324882887849,0.9414377716478273,0.4791809926322053
Karnataka,chikkaballapur,0.8067251927126161,0.6980573160650316,0.8853091541156379,0.4739271610783793
Karnataka,chikkamagaluru,0.8074218865821322,0.7100854229815377,0.9450943454159281,0.45500012387148553
Karnataka,chitradurga,0.8054245108662904,0.6727748691099477,0.9025712335920167,0.46264055471185966
Karnataka,dakshina kannada,0.8236999437410883,0.6445301736015432,0.9160480080613471,0.44308340552940456
Karnataka,davanagere,0.8132975592280853,0.7448195095067511,0.9812826452251502,0.4791005685517684
Karnataka,davangere,0.8564936915617103,0.6689583907412511,0.9690427593722042,0.39628260275594446
Karnataka,dharwad,0.8390565786763062,0.6620969964177459,0.9363430282026941,0.42996483335468094
Karnataka,gadag,0.8250607648609807,0.6761917883714522,0.9179366041388743,0.45380516809672167
Karnataka,hasan,0.7858126446047187,0.7360292091485258,0.9139688868313154,0.5267402388376227
Karnataka,hassan,0.8270469477538448,0.7079222926426012,0.8890959312137743,0.43056303395590095
Karnataka,haveri,0.8292967596887149,0.6766326811793882,0.8872233336736506,0.4396704698807068
Karnataka,kalaburagi,0.8407199645433717,0.5856709837420777,0.9466099072763923,0.4239068318159651
Karnataka,kodagu,0.7873347323198934,0.7328327362909892,0.9262659797178023,0.42207583057764586
Karnataka,kolar,0.8246825590337143,0.6833562965004134,0.9308563014784739,0.4428779512573743
Karnataka,koppal,0.8265456960945894,0.6565996142187931,0.9048955312871256,0.4383085388188823
Karnataka,mandya,0.8186752453259022,0.6900661339211904,0.9343028414663508,0.4562457717540246
Karnataka,mysuru,0.802034094769013,0.6253375585560761,0.9334866595633613,0.4261802999099049
Karnataka,raichur,0.8394481209586026,0.5791678148250207,0.9520897446982359,0.430884962174124
Karnataka,ramanagar,0.8156729036691633,0.7034720308624965,0.8941203243322845,0.446044315493249
Karnataka,ramanagara,0.6166400512194956,0.7227197575089557,0.0,0.25
Karnataka,shivamogga,0.8269604317815386,0.6727197575089556,0.9357821814878589,0.44369261452071196
Karnataka,tumakuru,0.824714370949151,0.643662165885919,0.9501646327850026,0.4479030295216918
Karnataka,udupi,0.8073726957018671,0.6931386056764949,0.9124580325912717,0.46133061207831405
Karnataka,uttara kannada,0.8124000274253422,0.693124827776247,0.912805025533873,0.44209130906015837
Karnataka,vijayanagara,0.7895939943909525,0.7167814825020666,0.9136285770969932,0.45304139079476896
Karnataka,vijayapura,0.8326394538385777,0.5746624414439239,0.933952847890126,0.4559251020867573
Karnataka,yadgir,0.823281079732842,0.6268117938826123,0.9465270461761195,0.43038707663770626
