state,district,total_months,active_months,total_E,total_DU,total_BU,total_U,total_T,avg_monthly_enrolment,monthly_volatility,peak_load_ratio,sum_age_0_5,sum_age_5_17,zero_months,activity_ratio,zero_month_ratio,biometric_burden,update_dominant,enrollment_update_balance,access,responsiveness,inclusion,stability,visibility,DEI,ASS,UBS,SRS
Karnataka,bagalkote,11,11,9484.0,57192.0,108959,166151.0,175635.0,862.1818181818181,0.38307010915628115,1.5716343553391978,7893.0,1495.0,0,1.0,0.0,0.6557829925790396,1,0.05399834884846415,0.5592043716496147,0.3994039195831553,0.944336987763852,0.6027998060512122,1.0,0.7011490170095669,0.6907956283503853,0.44387316926041703,0.4648952257002833
Karnataka,ballari,11,11,9336.0,50828.0,155496,206324.0,215660.0,848.7272727272727,0.3859701647407783,1.6367383844941112,7672.0,1581.0,0,1.0,0.0,0.7536495996587891,1,0.043290364462579986,0.5581055195046256,0.7006848834162378,0.9544054028666616,0.5467175366606748,1.0,0.7519826684896399,0.6918944804953744,0.6710001864390607,0.4731998527626342
Karnataka,belagavi,11,11,19182.0,112996.0,293983,406979.0,426161.0,1743.8181818181818,0.43034393276635263,1.8054608469569013,16445.0,2589.0,0,1.0,0.0,0.7223542246651548,1,0.045011157754932994,0.6312088858530212,0.6522684641355859,0.9640059954140789,0.2958286861677571,1.0,0.7086624063140886,0.6187911141469788,0.5983704571995552,0.6002690016346779
Karnataka,bengaluru rural,11,11,6226.0,40487.0,54163,94650.0,100876.0,566.0,0.429293359555176,1.8164677425750426,4314.0,1132.0,0,1.0,0.0,0.5722451135763339,1,0.06171933859391728,0.5350147751065442,0.18216534802509496,0.0032073367382240525,0.2907595297598689,1.0,0.4022293979259464,0.7149852248934558,0.25,0.5972605700835181
Karnataka,bengaluru urban,11,11,68853.0,346668.0,702538,1049206.0,1118059.0,6259.363636363636,0.32718721266067413,1.484882282598682,42495.0,17705.0,0,1.0,0.0,0.6695901472160853,1,0.061582617733053444,1.0,0.18601214040475791,0.0,0.8264910143273547,1.0,0.6025006309464225,0.25,0.4759165591562273,0.3048684258551875
Karnataka,bidar,11,11,6566.0,37845.0,115326,153171.0,159737.0,596.9090909090909,0.40074483106372105,1.8119972204310837,5143.0,1349.0,0,1.0,0.0,0.7529232034784652,1,0.04110506645298209,0.5375391651693568,0.76217065579578,0.934956086472521,0.37579213531925215,1.0,0.7220916085513821,0.7124608348306432,0.6693143795775591,0.5155087293368021
Karnataka,chamarajanagar,11,11,3535.0,18473.0,52436,70909.0,74444.0,321.3636363636364,0.482631436434068,2.0045403256138843,3131.0,376.0,0,1.0,0.0,0.7394829993371786,1,0.047485358121541026,0.5150349702270466,0.582654104952314,0.9623288004050656,0.0,1.0,0.6120035751168852,0.7349650297729534,0.6381226016262203,0.75
Karnataka,chikkaballapura,11,11,4034.0,32988.0,60056,93044.0,97078.0,366.72727272727275,0.4715674112700135,1.8570530913286223,3522.0,495.0,0,1.0,0.0,0.645458062851984,1,0.04155421413708564,0.5187398838780571,0.7495333897806656,0.9926209187147563,0.139918935631888,1.0,0.6801626256010735,0.7312601161219429,0.419911262728046,0.7183169511346208
Karnataka,chikkamagaluru,11,11,3161.0,22490.0,65917,88407.0,91568.0,287.3636363636364,0.4317090310016992,1.6792875240258607,2786.0,336.0,0,1.0,0.0,0.7456083794269684,1,0.034520793290232395,0.5122581411579525,0.9474264512028561,0.9262304557773496,0.3845139067257939,1.0,0.7540857909727905,0.7377418588420475,0.6523382707946193,0.6041781100699194
Karnataka,chitradurga,11,11,5869.0,44947.0,93086,138033.0,143902.0,533.5454545454545,0.44779898710631705,1.860801100749121,5162.0,649.0,0,1.0,0.0,0.6743749683046808,1,0.04078470069908688,0.5323641655405907,0.7711845000109325,0.9462973806366674,0.20523188646220186,1.0,0.6910155865300786,0.7176358344594094,0.4870210837128064,0.6502534631123742
