date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Uttarakhand,Haridwar,249403,55,402
01-03-2025,Uttarakhand,Udham Singh Nagar,244716,11,60
01-03-2025,Uttarakhand,Udham Singh Nagar,263160,80,586
01-03-2025,Uttarakhand,Dehradun,248171,71,578
01-03-2025,Uttarakhand,Haridwar,247665,31,502
01-03-2025,Uttarakhand,Dehradun,248145,11,110
01-04-2025,Uttarakhand,Udham Singh Nagar,244713,549,2952
01-04-2025,Uttarakhand,Udham Singh Nagar,244712,194,1377
01-04-2025,Uttarakhand,Dehradun,248008,55,544
01-04-2025,Uttarakhand,Dehradun,248001,461,3722
01-05-2025,Uttarakhand,Udham Singh Nagar,244712,205,1703
01-05-2025,Uttarakhand,Haridwar,247667,442,3723
01-05-2025,Uttarakhand,Dehradun,249204,116,653
01-05-2025,Uttarakhand,Nainital,244715,182,1078
01-06-2025,Uttarakhand,Udham Singh Nagar,244712,134,1536
01-03-2025,Uttarakhand,Nainital,263136,34,280
01-03-2025,Uttarakhand,Uttarkashi,249185,62,871
01-03-2025,Uttarakhand,Rudraprayag,246425,32,388
01-03-2025,Uttarakhand,Dehradun,249204,116,777
01-03-2025,Uttarakhand,Haridwar,247671,31,344
01-03-2025,Uttarakhand,Nainital,263126,58,493
01-03-2025,Uttarakhand,Almora,263624,19,133
01-03-2025,Uttarakhand,Bageshwar,263639,11,39
01-03-2025,Uttarakhand,Dehradun,248009,11,81
01-03-2025,Uttarakhand,Champawat,262580,18,184
01-03-2025,Uttarakhand,Udham Singh Nagar,263149,13,62
01-03-2025,Uttarakhand,Dehradun,248006,11,86
01-03-2025,Uttarakhand,Almora,263626,18,120
01-03-2025,Uttarakhand,Chamoli,246449,26,258
01-03-2025,Uttarakhand,Haridwar,249404,53,532
01-03-2025,Uttarakhand,Champawat,262524,87,591
01-03-2025,Uttarakhand,Dehradun,248007,117,950
01-03-2025,Uttarakhand,Haridwar,247656,116,1054
01-03-2025,Uttarakhand,Tehri Garhwal,249001,28,175
01-03-2025,Uttarakhand,Nainital,263134,19,136
01-03-2025,Uttarakhand,Chamoli,246444,23,188
01-03-2025,Uttarakhand,Uttarkashi,249196,21,227
01-03-2025,Uttarakhand,Udham Singh Nagar,262311,44,438
01-03-2025,Uttarakhand,Tehri Garhwal,249122,20,178
01-03-2025,Uttarakhand,Uttarkashi,249141,34,420
01-03-2025,Uttarakhand,Nainital,263135,15,157
01-06-2025,Uttarakhand,Dehradun,248001,224,3428
01-07-2025,Uttarakhand,Dehradun,248001,451,5131
