state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Gujarat,ahmedabad,1,774,348,73,365.0,4226.0,1775.0,2270.0,1195,4591.0,4045.0,8636.0,9831.0,1.0,0.0,3393.222222222222,0.42968095055499317,1.531843765189342,0.6982122185011814,1,0.04216975608678362,0.8495056294114282,0.2612143003102459,0.771599458622147,0.5741097563324202
Gujarat,amreli,1,280,30,9,43.0,738.0,238.0,284.0,319,781.0,522.0,1303.0,1622.0,1.0,0.0,654.625,0.42846854924298183,1.4984225098190715,0.7662167847275125,1,0.056199429098791664,0.772612267606896,0.6791835504376427,0.8697145043788506,0.57262436229476
Gujarat,anand,1,247,39,27,60.0,848.0,472.0,559.0,313,908.0,1031.0,1939.0,2252.0,1.0,0.0,880.8888888888889,0.43713736737186387,1.4483050847457628,0.8337253493384006,1,0.04391270632546804,0.7615161424209299,0.6446507804478089,0.9671139331719427,0.5832451119051678
Gujarat,arvalli,1,111,15,0,37.0,181.0,270.0,160.0,126,218.0,430.0,648.0,774.0,1.0,0.0,348.625,0.5008470499096535,1.5212131538592606,0.8216691909959785,1,0.06788696054329041,0.7669497492799338,0.725885777950749,0.9497196522720404,0.6613001103989129
Gujarat,banas kantha,1,449,226,9,100.0,1791.0,1214.0,1271.0,684,1891.0,2485.0,4376.0,5060.0,1.0,0.0,3466.7,0.4563899165337782,1.6727634898029469,0.6956145352394727,1,0.10756161204347515,0.8549776959240958,0.25,0.7678515954090251,0.6068326991599404
Gujarat,bharuch,1,180,26,7,55.0,601.0,523.0,462.0,213,656.0,985.0,1641.0,1854.0,1.0,0.0,657.5,0.4449473029938233,1.5919508105086642,0.699780983045819,1,0.04388343358667812,0.7736973601725512,0.6787447631693413,0.7738628272989847,0.5928135870399591
Gujarat,bhavnagar,1,391,48,12,69.0,1431.0,553.0,681.0,451,1500.0,1234.0,2734.0,3185.0,1.0,0.0,1474.0,0.44077923999907026,1.533718603134627,0.749157093658936,1,0.06629039149108408,0.8037574454850844,0.5541291789717879,0.8451012693761027,0.5877070139443499
Gujarat,botad,1,36,8,4,12.0,86.0,107.0,66.0,48,98.0,173.0,271.0,319.0,1.0,0.0,408.75,0.4894100223703011,1.5511400651465799,0.7487083137623297,1,0.13314332247557004,0.7223756378301502,0.7167094007310577,0.8444537825596488,0.647287842062345
Gujarat,chhotaudepur,1,80,16,50,34.0,169.0,171.0,132.0,146,203.0,303.0,506.0,652.0,1.0,0.0,509.22222222222223,0.44002720379324245,1.571853872157345,0.8525094248225606,1,0.08802627535341119,0.5679219580525557,0.7013751635383466,0.9942150607564038,0.5867856440273312
Gujarat,dang,6,222,72,70,0.0,0.0,0.0,0.0,364,0.0,0.0,0.0,364.0,1.0,0.0,436.0,0.1651376146788991,1.165137614678899,,0,1.0,0.5951822155851367,0.7125504605358546,,0.25
Gujarat,devbhumi dwarka,1,77,10,12,21.0,200.0,292.0,75.0,99,221.0,367.0,588.0,687.0,1.0,0.0,315.55555555555554,0.44161087958390766,1.7133839332682046,0.8379493541166635,1,0.07114050249242253,0.6929653382219615,0.730932891408842,0.9732082066170005,0.5887259112917558
Gujarat,dohad,1,228,118,14,43.0,611.0,383.0,674.0,360,654.0,1057.0,1711.0,2071.0,1.0,0.0,2548.6,0.4110617173803224,1.380393594394029,0.8179714136791618,1,0.1086327347436351,0.8462105928201785,0.3901219447051731,0.9443846047778754,0.551298086904597
Gujarat,gandhinagar,1,191,34,27,50.0,681.0,342.0,454.0,252,731.0,796.0,1527.0,1779.0,1.0,0.0,718.4444444444445,0.4109604836079834,1.3370083585457155,0.6694734737505863,1,0.04736753426564205,0.7622324238280715,0.6694433209794579,0.7301360185523964,0.5511740586308296
Gujarat,gir somnath,1,164,22,13,33.0,234.0,581.0,161.0,199,267.0,742.0,1009.0,1208.0,1.0,0.0,720.6666666666666,0.39806985108592596,1.6561924982307148,0.8199092803726861,1,0.10200518990327907,0.7503157893224067,0.6691041617382589,0.9471805034925694,0.5353808814870602
Gujarat,jamnagar,1,217,21,15,56.0,880.0,524.0,492.0,253,936.0,1016.0,1952.0,2205.0,1.0,0.0,773.5555555555555,0.4692859057582189,1.7718253968253967,0.7182035037717437,1,0.051161081716637274,0.7364221016750894,0.661032171797722,0.8004423140052472,0.6226324391585193
Gujarat,junagadh,1,318,43,2,62.0,888.0,603.0,889.0,363,950.0,1492.0,2442.0,2805.0,1.0,0.0,983.5714285714286,0.528263960586362,1.8073132517941979,0.7272491527394014,1,0.057995552410795514,0.7527444287311835,0.6289792009384052,0.8134931179675431,0.694890403684463
