state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Maharashtra,ahilyanagar,1,1117,209,1,128.0,1708.0,3491,4383,1327,1836.0,7874,9710.0,11037.0,1.0,0.0,1954.75,0.6867934812098998,2.008468815457553,0.6765382742015006,1,0.022763034741357602,0.5880256087679097,0.568366242421241,0.4322526729848811,0.7241052958060636
Maharashtra,akola,1,359,36,8,35.0,384.0,1136,2060,403,419.0,3196,3615.0,4018.0,1.0,0.0,876.7142857142857,0.5036525524200414,1.7041296327352002,0.7425930468235629,1,0.025729498574543014,0.6688275237323884,0.6827677289141467,0.5436091836064991,0.39688831971043326
Maharashtra,amravati,1,351,44,16,65.0,775.0,1355,4055,411,840.0,5410,6250.0,6661.0,1.0,0.0,1226.0,0.47477078995390626,1.6646377325727943,0.7777110930109601,1,0.020029500452775937,0.7496591109645186,0.6457014198897764,0.6028119168541377,0.34528542001494833
Maharashtra,beed,1,372,106,8,84.0,1152.0,1628,2385,486,1236.0,4013,5249.0,5735.0,1.0,0.0,1442.7777777777778,0.548286656723385,1.8450161688221751,0.6917451916338964,1,0.02606482382909023,0.6992467248625578,0.6226968944480211,0.4578888109256097,0.47663584931718395
Maharashtra,bhandara,1,125,7,0,19.0,254.0,481,956,132,273.0,1437,1710.0,1842.0,1.0,0.0,420.5,0.47681343392978354,1.4198188758326473,0.7208189980699841,1,0.01888331711698226,0.8059232314175651,0.7311813313146891,0.5069020389891595,0.34893500173020464
Maharashtra,buldhana,1,393,61,50,53.0,793.0,1532,2800,504,846.0,4332,5178.0,5682.0,1.0,0.0,1445.2857142857142,0.6138991604162626,2.0355458359281844,0.669466678213106,1,0.024420563770571738,0.4826721933032713,0.6224307514429837,0.42033122927181266,0.5938653795718961
Maharashtra,chandrapur,1,225,10,9,43.0,568.0,1149,2101,244,611.0,3250,3861.0,4105.0,1.0,0.0,683.625,0.5936239773026128,2.1309395018658757,0.6607375177302773,1,0.01661966523636452,0.665666907050366,0.7032584241841117,0.4056154288316904,0.5576398119062098
Maharashtra,chhatrapati sambhajinagar,1,611,290,6,165.0,1483.0,2303,3512,907,1648.0,5815,7463.0,8370.0,1.0,0.0,2432.1111111111113,0.5269085347783736,1.8851419196602488,0.6640958419704914,1,0.04003453113197367,0.6842143551429102,0.5177085323089186,0.41127696173962947,0.4384396663903361
Maharashtra,dharashiv,1,282,68,1,44.0,676.0,990,1387,351,720.0,2377,3097.0,3448.0,1.0,0.0,799.1428571428571,0.6235439812876142,2.3105400330689685,0.5684291137529844,1,0.02239561856186019,0.6029293393598472,0.6909996331269209,0.25,0.6110977325001099
Maharashtra,dhule,1,310,93,5,31.0,540.0,1139,1930,408,571.0,3069,3640.0,4048.0,1.0,0.0,1798.75,0.4214402429575628,1.659018031899388,0.7798850112870115,1,0.0499382279043296,0.7356961088295284,0.584921011114334,0.606476753534187,0.25
Maharashtra,gadchiroli,1,172,26,9,14.0,245.0,684,1506,207,259.0,2190,2449.0,2656.0,1.0,0.0,489.8333333333333,0.4959608307079006,1.55716515130954,0.7320273463778699,1,0.01661803953498892,0.6851882886980819,0.7238236563399811,0.5257973058692549,0.38314555922403354
Maharashtra,gondia,1,175,3,5,33.0,271.0,584,942,183,304.0,1526,1830.0,2013.0,1.0,0.0,608.6666666666666,0.5228938659887833,1.563887849993344,0.5952719320445682,1,0.023150114419377126,0.6770821245048341,0.7112130259145802,0.29525218181134943,0.4312666778615808
